id,province,carcolour,hp,gender,age,lic_years,pastclaims,claims,exp_years
43,EC,Silver,95,0,21,3,0,0,1.01026694
44,GP,Black,60,0,56,37,0,0,1.119780972
45,WC,Blue,89,1,18,0,4,0,1.045859001
47,WC,Yellow,237,1,27,7,2,1,1.253935661
48,FS,White,170,1,20,1,1,0,0.911704312
49,EC,Red,157,1,44,26,0,0,0.772073922
50,EC,Silver,245,1,27,9,1,0,0.79945243
51,FS,Red,118,0,55,37,1,0,0.717316906
52,FS,White,266,1,28,10,0,0,1.089664613
53,EC,Silver,66,1,65,47,0,0,0.829568789
54,KZN,Blue,126,0,25,7,1,0,0.947296372
55,WC,Red,40,0,23,5,1,0,0.728268309
56,EC,Black,150,0,63,45,1,0,0.821355236
57,KZN,Silver,201,0,33,15,1,0,1.149897331
58,EC,Red,79,0,43,25,0,0,0.459958932
59,FS,Black,44,0,72,54,1,0,0.689938398
60,NW,White,46,1,34,15,1,0,0.728268309
61,GP,White,155,0,33,15,1,0,1.377138946
62,NW,White,93,0,82,64,0,0,0.783025325
63,FS,White,148,0,49,31,0,0,1.059548255
64,FS,Red,121,0,64,45,2,0,0.443531828
65,FS,Black,55,0,79,61,0,0,0.134154689
66,WC,Blue,110,1,28,9,3,0,1.01026694
67,WC,White,190,1,87,68,3,0,0.717316906
68,GP,Silver,60,0,58,40,1,0,0.777549624
69,KZN,White,364,1,45,26,1,0,0.388774812
70,WC,Blue,90,0,25,7,1,0,0.610540726
71,NW,White,72,1,18,0,0,0,0.596851472
72,MP,Silver,108,1,43,25,0,0,1.609856263
73,WC,White,145,0,62,44,1,0,1.894592745
74,WC,White,162,0,46,28,1,0,0.654346338
75,MP,White,154,1,47,29,1,0,0.821355236
76,KZN,Silver,133,1,64,45,0,0,1.117043121
77,NW,White,68,1,67,48,3,0,0.65982204
78,FS,White,59,0,68,50,1,0,1.409993155
79,EC,White,132,1,29,10,1,0,0.197125257
80,KZN,White,229,1,43,25,3,0,0.720054757
81,KZN,White,56,1,24,5,1,0,0.93908282
82,WC,White,133,0,32,14,0,0,1.300479124
83,WC,White,76,0,50,32,1,0,0.769336071
84,WC,Blue,157,1,22,4,0,1,1.141683778
86,EC,Silver,97,1,83,65,1,0,0.462696783
87,EC,Red,100,0,76,58,0,0,1.259411362
88,FS,Silver,130,1,70,50,0,0,0.83504449
89,WC,White,134,0,71,52,2,0,0.465434634
90,GP,Red,134,0,53,34,1,0,0.391512663
91,GP,Red,187,0,22,3,1,0,0.629705681
92,KZN,Silver,207,1,19,0,1,0,0.804928131
93,LIM,Green,58,1,20,2,0,1,0.65982204
94,FS,Silver,105,0,23,3,1,0,1.032169747
95,EC,Silver,360,0,52,34,1,0,1.14715948
97,WC,Silver,141,1,24,6,0,0,0.780287474
98,GP,Red,175,1,60,41,0,0,0.506502396
99,EC,Yellow,219,1,28,9,1,0,0.65982204
100,WC,Black,132,1,29,10,1,0,0.829568789
102,KZN,White,171,0,26,8,1,0,0.5229295
103,WC,Blue,62,1,26,7,1,1,0.607802875
104,GP,Red,112,1,31,13,1,0,0.254620123
105,GP,White,195,1,20,1,0,1,0.580424367
106,FS,Black,87,0,26,8,1,0,0.898015058
107,GP,White,112,0,20,1,1,0,0.93908282
108,NW,White,84,1,28,9,1,0,1.423682409
109,WC,Green,115,0,20,1,2,0,0.438056126
110,WC,White,95,0,64,46,1,0,0.851471595
111,WC,White,114,0,45,26,1,0,1.029431896
112,MP,Black,128,1,63,45,1,0,0.906228611
113,WC,Silver,57,0,47,29,1,1,0.952772074
114,NW,White,139,0,56,37,1,0,0.498288843
115,WC,Red,82,0,71,51,0,0,1.80971937
116,WC,Black,96,1,84,64,0,1,0.788501027
117,GP,Yellow,124,1,34,16,1,0,0.62696783
118,GP,Green,283,0,77,59,1,0,0.361396304
119,WC,Blue,119,0,50,32,2,0,0.599589322
120,MP,Red,196,0,69,50,0,1,1.623545517
121,WC,Black,152,1,37,19,3,0,0.580424367
122,WC,White,165,1,24,5,1,0,0.637919233
123,FS,Red,139,1,32,14,2,0,0.577686516
124,KZN,Black,281,1,56,38,0,0,1.034907598
125,WC,Black,45,1,84,65,1,0,1.273100616
126,KZN,Black,81,1,19,0,2,0,0.876112252
127,MP,White,153,1,58,40,1,1,0.580424367
128,FS,Green,77,1,44,25,2,0,1.01026694
129,MP,Red,105,0,56,37,0,0,0.511978097
130,MP,White,43,0,50,32,1,1,0.824093087
131,FS,White,281,1,37,18,1,0,0.599589322
132,GP,White,117,1,45,27,1,1,0.793976728
133,FS,Red,95,1,60,41,1,0,0.76659822
134,NW,Red,87,1,56,38,1,0,1.002053388
135,MP,Yellow,272,0,28,10,0,0,0.818617385
136,FS,Yellow,148,0,85,67,1,0,0.533880903
137,MP,Blue,100,0,35,16,2,0,0.941820671
138,WC,Black,38,1,67,49,3,0,0.355920602
139,KZN,White,231,0,78,59,0,0,0.774811773
140,MP,Red,190,0,77,59,1,0,1.229295003
141,LIM,Red,171,1,67,48,1,1,0.843258042
142,WC,White,141,0,46,27,3,0,1.073237509
143,WC,Red,108,1,33,15,2,0,0.79945243
144,GP,Yellow,238,1,64,46,1,0,0.845995893
145,NW,White,226,1,68,50,0,0,0.922655715
146,WC,White,231,1,57,39,1,1,0.848733744
147,EC,Red,87,0,53,34,0,0,0.249144422
148,NW,White,126,0,65,47,1,0,0.906228611
149,MP,Blue,129,0,29,9,1,0,1.544147844
150,FS,Black,47,0,60,42,1,0,0.432580424
151,WC,Green,142,0,57,39,1,0,1.075975359
152,NW,White,79,0,79,60,1,0,0.761122519
153,GP,Red,54,1,29,11,2,0,0.818617385
154,EC,Green,61,1,53,35,0,0,0.629705681
156,FS,Blue,158,0,18,0,0,1,0.678986995
157,KZN,Red,119,1,65,47,1,0,0.670773443
158,WC,Green,128,1,42,23,1,1,0.624229979
159,KZN,White,115,1,31,12,4,2,1.188227242
160,FS,White,175,1,27,9,1,1,0.955509925
161,WC,White,79,1,82,64,1,0,1.388090349
163,WC,White,47,1,47,29,5,0,0.654346338
164,GP,Green,200,0,83,65,1,0,0.966461328
165,FS,Green,78,1,70,52,2,0,0.747433265
166,FS,White,41,0,30,10,1,1,1.481177276
167,GP,Black,188,0,73,55,0,0,0.583162218
168,KZN,White,68,0,20,1,2,1,0.840520192
169,FS,White,126,0,55,36,1,0,0.5229295
170,FS,White,104,0,31,12,1,0,0.684462697
171,WC,Red,52,1,38,20,1,0,0.862422998
172,GP,Red,279,0,81,62,0,0,0.752908966
173,WC,Red,179,1,29,11,1,0,1.215605749
174,GP,Red,183,1,26,7,2,1,0.848733744
175,WC,Green,76,0,62,44,1,0,0.355920602
176,GP,Blue,150,0,51,32,4,0,0.375085558
177,FS,Blue,67,0,69,51,2,0,0.41889117
178,WC,White,91,1,57,38,1,0,0.804928131
180,KZN,White,55,0,80,62,1,0,0.605065024
181,EC,Yellow,194,1,47,29,0,0,0.654346338
182,KZN,White,141,1,47,27,1,1,1.196440794
183,WC,Silver,115,1,73,54,0,0,0.733744011
184,MP,White,95,0,64,45,1,0,1.097878166
185,EC,Green,90,1,31,12,0,1,1.782340862
186,KZN,White,125,1,54,35,0,0,0.640657084
187,FS,Silver,101,1,22,4,0,1,0.999315537
188,GP,Yellow,132,1,22,4,3,1,0.856947296
190,WC,Green,167,0,61,42,0,1,0.665297741
191,FS,Green,166,0,29,11,2,0,1.084188912
192,GP,Red,75,0,18,0,0,0,0.62696783
193,WC,Blue,189,1,58,39,1,0,0.566735113
194,GP,Red,237,1,51,33,1,1,1.262149213
195,EC,White,130,1,22,2,0,0,0.665297741
197,WC,Blue,112,0,55,37,0,0,0.364134155
198,NW,Silver,50,1,54,36,1,0,1.442847365
199,KZN,Yellow,195,1,49,31,1,0,0.785763176
200,WC,Red,148,0,86,68,0,0,0.848733744
201,GP,Black,224,0,80,62,0,0,0.621492129
202,WC,Black,80,0,31,13,3,0,0.741957563
203,GP,Black,157,1,31,13,0,0,0.602327173
204,NW,Black,99,0,56,38,0,0,0.366872005
205,WC,Green,66,0,48,30,1,0,1.075975359
206,FS,Red,144,0,75,56,3,0,1.275838467
207,WC,White,92,1,49,31,2,0,0.829568789
208,GP,Green,247,0,28,10,3,0,0.76386037
209,WC,Black,144,1,21,3,1,0,0.722792608
210,WC,White,227,0,39,21,1,0,1.253935661
211,WC,White,86,0,40,22,0,0,0.443531828
212,GP,Green,40,0,24,6,0,0,0.843258042
213,WC,White,154,1,20,2,0,0,0.407939767
214,KZN,Green,92,0,27,9,3,1,1.377138946
215,FS,Red,61,1,79,61,2,0,1.204654346
216,KZN,White,192,1,31,12,1,0,1.763175907
217,NW,Red,54,1,84,66,0,0,0.402464066
218,WC,Silver,63,0,41,23,2,0,0.821355236
219,WC,White,93,1,67,48,1,0,0.544832307
220,GP,Green,62,1,86,67,0,0,1.245722108
221,MP,Green,104,1,87,68,1,0,0.45174538
222,GP,Black,241,1,86,67,1,0,0.906228611
223,KZN,White,100,1,31,13,1,0,0.539356605
224,MP,White,92,0,85,67,1,0,0.772073922
226,WC,Red,66,0,53,34,1,0,1.371663244
227,WC,White,151,0,23,3,1,0,1.190965092
228,EC,Silver,38,0,25,7,0,1,0.687200548
229,WC,Green,72,0,66,48,0,0,2.116358658
230,WC,Red,241,0,34,16,0,0,1.489390828
231,EC,Green,357,1,59,41,1,0,0.583162218
232,EC,White,103,1,18,0,0,0,0.547570157
233,EC,Blue,117,0,31,12,2,1,1.158110883
234,WC,White,102,0,81,63,1,0,1.253935661
235,FS,White,155,0,22,4,0,0,0.725530459
236,GP,Yellow,179,1,55,36,2,0,0.747433265
237,WC,Yellow,227,0,54,36,1,0,0.911704312
238,EC,Yellow,144,1,62,43,1,0,0.952772074
239,WC,White,118,1,72,54,1,0,0.257357974
240,WC,Black,82,0,59,39,0,0,1.089664613
241,WC,Red,179,1,32,13,0,0,0.689938398
242,WC,Blue,95,0,56,37,1,1,0.930869268
243,KZN,Yellow,225,1,33,14,0,0,0.996577687
244,WC,Red,119,0,42,23,3,0,0.76386037
245,FS,Red,84,1,45,27,1,0,0.484599589
246,FS,Black,187,0,53,35,2,0,1.169062286
247,MP,White,135,0,30,12,1,0,0.692676249
248,KZN,Green,101,0,54,36,2,0,0.668035592
249,KZN,White,72,1,52,34,1,0,0.654346338
250,LIM,White,172,1,19,0,0,0,0.421629021
251,NC,Red,155,0,77,59,3,0,0.320328542
252,MP,Red,173,0,26,8,1,0,0.722792608
253,WC,White,77,1,77,59,0,0,1.144421629
254,GP,Blue,184,1,37,18,0,0,0.76386037
255,GP,Yellow,101,1,26,8,0,0,0.509240246
256,WC,White,187,1,61,43,2,0,0.845995893
257,WC,Green,113,0,31,13,0,0,0.594113621
258,NW,Red,81,1,37,18,0,1,0.648870637
259,MP,Green,46,1,50,32,0,1,0.459958932
260,WC,White,111,1,51,33,3,1,0.533880903
261,NW,Black,77,0,73,55,1,0,0.41615332
262,GP,Black,51,1,65,47,1,0,0.449007529
263,GP,Black,105,0,23,4,0,1,1.04312115
264,MP,Red,121,1,62,43,0,0,1.407255305
265,FS,White,212,0,26,8,1,3,0.599589322
266,WC,White,53,0,35,16,4,0,1.048596851
267,GP,Red,102,1,49,31,1,0,0.588637919
268,MP,White,58,1,22,4,0,0,1.122518823
269,GP,White,105,0,42,24,1,0,0.709103354
270,GP,Red,134,0,85,66,2,0,0.824093087
271,FS,Blue,79,0,52,34,2,0,1.04312115
272,WC,Red,79,1,34,16,1,0,0.947296372
273,NW,Yellow,153,0,81,63,1,0,1.453798768
275,GP,White,167,0,30,12,1,0,0.468172485
276,GP,Black,73,0,54,36,0,1,0.955509925
277,WC,Black,123,1,53,35,2,0,1.711156742
278,FS,Blue,141,1,19,0,1,1,1.615331964
279,GP,Silver,183,0,41,23,1,0,0.758384668
280,WC,Red,202,0,49,31,1,1,1.138945927
281,WC,Green,194,1,67,48,1,0,0.930869268
282,WC,Green,139,1,58,40,0,0,0.83504449
283,WC,Red,115,1,49,31,1,0,0.802190281
284,WC,Yellow,171,0,75,56,1,1,1.032169747
285,KZN,Black,115,1,45,27,1,1,1.371663244
286,WC,Red,199,1,43,24,0,0,0.66255989
287,NW,White,147,0,48,30,2,0,0.624229979
288,NW,White,151,1,83,65,0,0,0.733744011
289,KZN,White,191,0,41,22,0,0,1.686516085
290,GP,White,127,0,22,3,1,2,1.117043121
291,KZN,Silver,168,0,23,5,0,0,0.906228611
292,NC,Green,120,1,26,7,1,0,1.004791239
293,MP,Black,142,0,58,40,1,0,0.577686516
294,FS,Red,102,1,27,9,2,0,0.481861739
295,MP,Blue,58,1,42,23,3,0,0.574948665
296,GP,Red,214,1,36,17,1,0,1.065023956
297,GP,Black,166,1,18,0,0,0,0.678986995
298,NW,Red,63,1,28,10,1,1,0.758384668
299,WC,Red,223,0,86,68,2,0,0.826830938
300,EC,Black,165,1,78,60,2,0,0.643394935
301,GP,Blue,102,1,26,8,1,1,0.618754278
302,WC,Red,92,1,82,64,1,0,0.930869268
303,KZN,White,158,0,26,7,3,0,0.59137577
304,WC,White,95,0,55,35,0,0,1.267624914
305,WC,Yellow,57,0,68,50,0,0,0.394250513
306,MP,Black,160,1,28,10,1,1,1.138945927
307,GP,Silver,132,0,22,3,1,0,0.646132786
308,FS,White,126,0,76,57,1,0,0.561259411
311,FS,White,214,1,65,47,1,0,1.174537988
312,EC,Blue,146,0,28,9,1,0,0.93908282
313,WC,Yellow,209,0,64,46,0,1,0.832306639
314,EC,Blue,160,0,22,3,0,0,0.966461328
315,WC,Black,196,1,79,60,1,0,0.55578371
316,WC,Silver,67,0,81,63,0,0,1.453798768
317,FS,White,184,0,19,0,0,0,0.462696783
318,GP,Green,77,1,67,49,1,0,0.717316906
319,KZN,Blue,180,0,18,0,0,1,0.596851472
320,KZN,White,188,1,25,5,1,0,1.04312115
321,KZN,Red,147,1,27,8,3,0,0.928131417
322,WC,Yellow,106,1,27,9,2,0,1.87816564
323,EC,White,93,1,56,35,3,0,0.79945243
324,GP,White,172,1,64,45,2,0,0.588637919
325,FS,White,123,1,18,0,1,0,1.160848734
326,GP,White,121,1,28,10,0,0,0.583162218
327,KZN,Blue,92,0,60,42,3,0,0.687200548
328,NW,White,176,1,32,14,0,0,1.2183436
329,WC,Red,266,1,30,12,1,0,0.260095825
330,MP,White,192,0,79,61,1,0,0.837782341
331,FS,White,54,1,25,6,0,0,1.514031485
332,MP,White,63,0,45,27,1,0,0.320328542
333,MP,Blue,54,0,40,22,1,0,0.533880903
334,WC,Blue,139,1,23,5,2,0,0.580424367
335,WC,White,160,0,24,6,0,1,0.919917864
336,GP,White,68,0,22,4,0,0,1.054072553
337,GP,Red,47,0,29,10,1,0,1.486652977
338,WC,Red,88,0,38,19,2,0,1.349760438
339,WC,Blue,87,0,19,1,0,1,0.856947296
340,GP,Red,212,0,29,9,1,1,1.229295003
341,FS,Red,127,1,18,0,0,0,0.602327173
342,FS,Blue,140,1,21,0,1,0,0.692676249
343,FS,White,109,0,42,24,0,0,0.925393566
344,GP,Silver,107,0,26,7,1,0,0.38329911
346,GP,Blue,94,0,37,18,1,0,1.511293634
347,WC,Black,213,1,82,63,3,0,1.694729637
348,WC,White,74,1,23,5,0,0,1.002053388
349,KZN,Black,153,0,78,59,2,0,0.728268309
350,KZN,Blue,68,1,34,16,0,0,0.873374401
351,KZN,White,110,0,77,59,1,0,0.848733744
353,GP,White,157,1,43,25,0,0,0.648870637
354,KZN,Blue,136,0,69,51,2,0,0.34770705
355,KZN,Silver,92,0,63,45,2,0,0.736481862
357,NW,Green,80,0,22,4,1,0,0.807665982
358,WC,Yellow,184,0,53,35,2,0,0.41615332
359,FS,White,194,1,35,16,2,0,0.744695414
360,EC,White,91,1,67,49,0,0,0.692676249
361,GP,Red,97,1,81,62,2,0,1.319644079
362,GP,Blue,59,1,40,21,5,0,0.865160849
363,EC,Blue,153,0,41,23,0,0,0.558521561
364,FS,Black,120,0,22,4,0,0,0.301163587
365,WC,White,188,0,70,51,0,0,1.859000684
366,WC,Green,71,0,70,52,3,0,1.004791239
367,KZN,Silver,149,0,75,57,1,0,0.424366872
368,WC,White,106,1,51,32,3,2,1.119780972
369,GP,White,72,0,37,19,1,0,0.648870637
370,NW,Red,247,1,64,45,1,0,0.635181383
371,WC,White,71,0,38,20,1,0,0.320328542
372,NW,Blue,61,0,85,66,1,0,0.553045859
373,EC,Red,99,0,19,0,1,1,1.363449692
374,WC,White,177,1,28,10,0,0,0.643394935
375,NW,White,94,0,75,57,5,0,0.936344969
376,KZN,Red,56,0,80,61,1,0,0.837782341
377,EC,Blue,100,0,49,31,1,0,1.456536619
378,EC,White,106,1,27,8,2,0,0.616016427
379,WC,Silver,158,0,32,14,1,0,0.829568789
380,WC,White,407,0,42,24,1,0,0.936344969
381,KZN,White,176,1,35,16,1,1,0.79945243
382,WC,Black,148,1,25,6,2,0,0.361396304
383,WC,Red,45,1,61,43,0,0,0.536618754
384,WC,Black,136,0,20,1,1,0,0.605065024
385,WC,Black,106,1,48,29,1,1,0.774811773
386,FS,Black,81,0,58,39,2,2,1.368925394
387,WC,White,123,0,48,30,0,2,1.524982888
388,GP,Red,149,1,78,60,0,0,0.681724846
389,EC,Blue,88,0,80,61,0,0,0.377823409
390,EC,Red,38,0,19,1,1,0,0.714579055
391,KZN,Blue,112,0,48,30,1,0,0.495550992
392,KZN,Silver,104,1,86,68,0,0,1.059548255
393,MP,White,171,0,22,3,1,1,1.292265572
395,KZN,Red,59,0,65,45,1,0,0.678986995
396,NW,Red,83,0,68,50,1,0,0.840520192
397,WC,Green,139,0,18,0,1,1,0.79945243
398,FS,Black,118,1,50,31,2,0,1.212867899
399,KZN,White,64,0,37,19,1,0,0.777549624
400,WC,White,63,1,82,63,0,0,0.284736482
401,WC,Green,173,0,56,37,0,1,0.856947296
402,NW,Blue,172,1,20,2,2,2,0.607802875
403,FS,Red,83,0,20,2,0,0,1.776865161
404,KZN,White,158,0,83,65,1,0,0.640657084
405,KZN,Red,101,0,49,31,1,0,1.325119781
406,FS,Blue,180,1,22,3,0,0,0.235455168
407,GP,Red,91,0,44,26,2,0,0.689938398
408,WC,White,191,0,52,33,0,0,1.054072553
409,GP,White,214,0,19,1,1,0,0.837782341
410,WC,Red,168,1,62,43,0,0,1.215605749
411,FS,White,205,1,57,38,0,0,0.528405202
412,WC,White,109,0,50,32,1,0,1.067761807
413,GP,Yellow,154,0,69,51,3,0,1.166324435
414,KZN,White,114,1,48,30,0,0,1.163586585
415,FS,White,436,0,27,8,4,2,1.196440794
416,WC,Green,130,1,20,1,0,1,0.651608487
417,FS,Green,96,0,65,47,2,0,0.700889802
418,EC,White,161,1,71,52,1,0,0.761122519
419,WC,White,167,0,72,54,2,0,1.103353867
420,WC,Red,194,0,50,32,1,0,0.421629021
421,MP,Silver,229,1,82,64,1,0,0.8678987
422,KZN,White,161,1,68,49,1,0,0.55578371
423,GP,Blue,117,1,83,64,0,0,0.736481862
424,WC,White,65,0,20,0,0,0,1.448323066
425,KZN,Black,67,0,39,21,1,0,0.616016427
426,WC,Silver,203,0,50,32,0,0,0.876112252
427,MP,Yellow,87,1,67,49,0,0,1.073237509
428,WC,White,71,0,51,32,1,0,0.668035592
429,FS,Black,57,0,24,4,1,1,0.599589322
430,NW,White,122,1,38,20,2,0,0.553045859
431,WC,Black,104,1,20,2,1,0,0.287474333
432,MP,Yellow,132,0,83,65,1,0,0.829568789
433,KZN,Black,299,0,38,20,0,0,0.613278576
434,EC,Red,167,1,23,5,1,0,1.237508556
435,FS,Red,95,0,31,13,1,0,0.898015058
436,FS,Green,55,0,36,17,1,0,0.6954141
437,GP,Black,86,0,78,59,2,0,0.396988364
438,EC,Black,80,0,72,53,0,0,0.928131417
439,GP,Silver,80,1,64,46,4,0,0.542094456
440,WC,White,150,0,54,36,1,0,0.574948665
441,KZN,Silver,153,1,72,54,0,0,1.119780972
442,GP,Black,214,1,20,2,1,0,0.728268309
443,EC,Black,222,0,22,4,1,0,0.678986995
444,WC,Black,46,1,50,32,0,0,1.28678987
445,WC,Silver,55,0,36,17,1,1,1.100616016
446,KZN,Red,138,1,18,0,1,0,0.93908282
447,WC,Black,161,1,47,29,2,0,0.353182752
448,KZN,White,122,1,63,45,1,0,0.928131417
449,FS,Blue,158,0,54,36,1,0,0.498288843
451,WC,Black,181,0,83,63,1,0,0.807665982
452,GP,Red,120,0,55,36,1,0,0.906228611
453,FS,Black,115,0,63,45,1,0,0.878850103
454,WC,White,93,1,27,9,4,0,1.267624914
455,GP,White,236,1,78,60,1,0,1.048596851
456,WC,Black,198,1,19,0,1,1,0.944558522
457,WC,Black,152,1,18,0,0,0,0.750171116
458,WC,Green,156,0,32,14,0,0,0.386036961
459,WC,Blue,212,0,35,16,1,0,0.772073922
460,EC,Green,86,0,51,32,0,0,1.062286105
461,WC,Black,208,1,19,1,0,0,0.977412731
462,WC,Blue,172,1,22,3,0,0,0.260095825
463,NC,Black,193,1,22,4,3,0,0.616016427
464,KZN,Red,65,0,33,15,2,1,0.624229979
466,GP,Green,172,1,64,46,1,0,0.481861739
467,GP,Silver,72,0,41,23,0,0,0.689938398
469,GP,Red,166,1,65,45,1,0,1.136208077
470,NW,Silver,81,1,30,12,0,0,0.610540726
471,KZN,Blue,67,1,50,32,1,1,1.697467488
472,GP,White,49,1,65,47,3,0,0.610540726
473,WC,Blue,51,0,73,55,2,0,1.04312115
474,WC,Blue,173,0,55,37,1,2,0.818617385
475,EC,Blue,134,1,83,64,3,0,0.687200548
476,NW,White,143,1,44,26,1,1,1.412731006
477,WC,Blue,138,0,86,67,0,0,0.840520192
478,EC,Red,52,1,23,5,1,0,0.714579055
479,WC,White,115,0,43,25,3,0,0.741957563
480,KZN,White,245,1,43,25,1,0,1.689253936
481,MP,Black,119,1,86,67,0,0,0.465434634
482,WC,Yellow,148,1,22,4,1,1,1.034907598
483,WC,Black,110,0,60,42,0,0,0.640657084
484,FS,White,157,0,23,4,2,0,0.533880903
485,GP,Silver,183,1,41,23,4,0,0.887063655
486,FS,Red,65,0,34,16,0,0,1.081451061
487,NW,Black,117,0,42,24,1,0,0.358658453
488,KZN,Blue,172,1,79,61,1,0,0.947296372
489,LIM,Black,169,1,50,32,2,0,1.281314168
490,WC,Green,159,0,38,20,1,0,0.479123888
491,FS,White,88,1,81,62,1,0,0.785763176
492,KZN,Black,152,1,23,5,0,0,1.527720739
493,WC,Black,121,1,36,17,0,0,1.264887064
494,EC,White,185,1,24,6,1,2,1.267624914
495,WC,Silver,183,1,56,37,0,0,1.303216975
496,FS,Red,90,1,71,52,1,0,0.709103354
497,WC,Black,45,0,48,29,1,0,0.747433265
498,MP,Black,123,0,29,11,1,0,0.73100616
499,NW,Black,98,0,46,28,1,0,0.531143053
500,WC,Red,75,0,74,55,0,0,1.054072553
501,EC,White,112,0,85,67,0,0,1.820670773
502,EC,Red,107,1,73,55,1,0,0.837782341
503,GP,White,159,0,66,47,0,0,0.514715948
504,EC,Red,69,1,48,29,1,0,0.87063655
505,WC,White,257,0,45,27,0,0,0.79945243
506,GP,Black,78,1,87,68,3,0,0.492813142
508,WC,White,65,1,25,7,1,0,1.163586585
509,WC,Silver,150,0,25,5,0,0,0.388774812
510,NW,Red,171,0,38,20,0,1,0.892539357
511,WC,White,204,1,58,40,1,0,0.952772074
512,NW,Green,121,1,64,45,2,0,1.051334702
513,GP,White,135,1,23,4,1,0,0.958247775
514,GP,Red,124,0,33,14,1,0,0.758384668
515,FS,Black,82,1,46,27,1,0,0.490075291
516,EC,Blue,83,0,27,9,2,0,1.467488022
517,EC,Red,93,0,28,9,0,0,0.673511294
518,EC,Red,205,1,50,31,1,0,1.180013689
519,MP,White,89,1,29,10,1,0,0.87063655
520,EC,Silver,81,0,72,53,1,0,0.457221081
521,WC,Green,299,0,25,6,1,0,0.856947296
522,EC,Red,303,1,46,28,1,0,0.501026694
523,EC,Black,135,1,78,60,1,0,0.733744011
524,WC,Blue,79,0,35,17,1,0,0.632443532
525,WC,Green,87,1,77,59,1,0,1.073237509
526,GP,White,169,1,69,49,1,0,1.155373032
527,KZN,White,125,1,86,68,1,0,0.982888433
528,FS,White,240,0,78,60,1,0,0.596851472
529,FS,White,155,0,38,20,2,0,0.999315537
530,KZN,Silver,74,0,26,8,2,0,1.574264203
531,KZN,White,67,1,59,40,0,0,1.629021218
532,WC,Green,195,1,63,44,3,0,0.361396304
533,GP,White,190,0,21,3,2,1,0.876112252
534,KZN,White,150,1,70,52,1,0,0.621492129
535,GP,Black,185,1,60,41,1,0,1.089664613
536,FS,White,152,1,47,29,1,0,0.930869268
537,WC,Blue,115,1,51,33,1,0,0.583162218
538,WC,Silver,170,1,18,0,0,0,1.787816564
539,NW,Red,190,1,73,55,4,0,0.402464066
540,GP,Black,63,0,27,8,2,0,0.985626283
541,FS,Blue,51,0,85,66,1,0,0.848733744
542,WC,Red,266,0,71,53,0,0,0.424366872
543,FS,Red,154,0,84,66,2,0,0.826830938
544,GP,Green,156,0,26,7,1,0,0.668035592
545,FS,Silver,156,0,51,33,0,0,0.657084189
546,FS,Yellow,119,1,76,58,1,0,1.341546886
547,GP,Silver,199,0,65,47,0,0,0.684462697
548,WC,Black,125,0,86,67,1,0,1.188227242
549,WC,White,162,0,30,12,0,0,1.237508556
550,GP,Black,70,0,57,39,1,0,1.631759069
551,NW,Black,165,0,50,30,1,0,0.314852841
552,WC,Silver,143,0,30,12,0,0,1.401779603
553,EC,White,55,0,53,34,1,0,1.155373032
554,WC,Red,97,0,19,1,0,0,1.418206708
555,WC,Red,49,0,31,12,1,0,1.062286105
556,FS,Red,195,0,34,16,1,0,0.542094456
