id,province,carcolour,hp,gender,age,lic_years,pastclaims,exp_years
82,EC,Green,188,0,85,66,0,0.049281314
83,MP,Red,58,1,31,12,3,0.314852841
84,WC,White,105,1,19,1,0,0.375085558
85,FS,Blue,163,0,75,56,2,0.27926078
86,WC,White,45,0,71,52,0,0.290212183
87,FS,Black,94,1,41,23,3,0.13963039
88,KZN,Red,63,1,53,35,1,0.27926078
89,FS,White,122,0,66,47,1,0.265571526
90,NC,White,46,1,24,5,1,0.084873374
91,MP,White,244,1,30,12,1,0.309377139
92,KZN,White,52,0,30,11,1,0.350444901
94,FS,Black,192,1,58,39,2,0.249144422
95,MP,Silver,95,0,43,25,0,0.476386037
96,NW,Black,71,0,29,7,2,0.394250513
97,EC,White,62,0,58,39,1,0.355920602
98,GP,Blue,94,1,27,8,1,0.336755647
99,WC,Green,156,0,44,26,2,0.432580424
100,KZN,White,46,0,46,28,0,0.34770705
101,KZN,Red,100,0,55,36,0,0.427104723
102,EC,White,164,1,31,13,1,0.145106092
103,GP,Red,122,0,43,25,0,0.317590691
104,KZN,Green,67,0,40,21,2,0.262833676
105,FS,White,94,1,25,6,1,0.167008898
106,WC,Green,128,0,19,0,1,0.405201916
107,WC,White,148,1,74,56,1,0.019164956
108,KZN,Silver,157,0,64,45,5,0.082135524
109,GP,Red,103,0,40,22,0,0.06844627
110,WC,Blue,70,0,86,68,1,0.465434634
111,GP,White,61,1,54,36,0,0.410677618
112,NW,Red,91,0,67,48,0,0.446269678
113,NW,White,92,1,33,15,0,0.476386037
114,GP,White,96,1,54,35,1,0.407939767
115,KZN,Yellow,125,0,29,10,1,0.290212183
116,EC,Silver,70,0,73,55,3,0.240930869
117,MP,White,122,1,73,54,2,0.093086927
118,WC,Yellow,140,1,23,5,0,0.295687885
119,GP,Black,77,0,73,55,1,0.328542094
120,GP,White,93,0,20,1,1,0.344969199
121,FS,Green,198,0,28,10,1,0.399726215
122,EC,Blue,159,1,47,28,2,0.246406571
123,KZN,Silver,100,0,71,52,2,0.205338809
124,EC,Black,137,1,55,36,0,0.114989733
125,WC,Yellow,117,0,84,66,0,0.221765914
127,MP,White,93,0,24,6,1,0.156057495
128,WC,White,145,1,59,41,1,0.369609856
129,WC,White,80,1,27,8,1,0.134154689
130,KZN,White,81,1,78,59,0,0.484599589
131,FS,White,64,0,60,42,1,0.410677618
132,GP,Green,69,1,57,39,2,0.084873374
133,FS,Black,126,0,19,0,0,0.358658453
134,MP,Blue,171,0,44,25,0,0.227241615
135,FS,Silver,223,1,35,17,0,0.364134155
137,FS,Red,100,0,28,10,2,0.219028063
138,EC,Red,56,1,72,54,5,0.334017796
139,KZN,Silver,91,0,60,42,2,0.016427105
140,NW,Black,149,0,33,15,2,0.41615332
141,WC,Blue,154,0,41,23,1,0.41889117
142,KZN,Black,42,0,52,34,0,0.07118412
143,KZN,Red,144,0,31,13,1,0.394250513
144,KZN,Red,138,0,40,22,0,0.095824778
145,FS,Black,174,0,34,16,1,0.317590691
146,WC,Yellow,180,0,49,31,0,0.205338809
147,GP,White,131,1,67,49,1,0.186173854
148,EC,Silver,49,1,26,8,1,0.227241615
149,MP,White,93,0,82,64,1,0.125941136
150,GP,White,104,1,32,13,1,0.394250513
151,WC,Silver,116,0,83,65,0,0.402464066
152,WC,White,77,1,25,6,1,0.457221081
153,NW,Silver,128,1,68,50,2,0.443531828
154,NW,White,52,0,30,10,2,0.043805613
155,GP,Black,155,1,72,54,2,0.052019165
156,NW,Green,207,1,20,1,0,0.076659822
157,NW,White,109,1,47,29,0,0.462696783
158,KZN,Blue,119,1,56,38,0,0.429842574
159,FS,Yellow,95,0,26,8,1,0.492813142
160,NW,Silver,164,0,81,61,1,0.31211499
161,WC,Silver,81,1,40,22,0,0.342231348
162,GP,White,57,1,20,1,0,0.109514031
163,WC,White,150,1,63,45,0,0.429842574
164,GP,Silver,299,0,68,50,0,0.128678987
165,NW,White,122,0,83,65,0,0.235455168
166,WC,Red,237,1,63,45,1,0.082135524
167,LIM,White,173,1,81,63,1,0.432580424
168,FS,White,97,0,84,65,1,0.468172485
169,KZN,Red,58,0,67,49,0,0.17522245
170,WC,White,79,1,65,46,0,0.457221081
171,WC,Red,168,1,25,6,0,0.24366872
172,FS,Black,223,0,60,41,2,0.402464066
173,WC,White,65,1,60,40,0,0.309377139
174,KZN,White,98,1,74,55,2,0.180698152
175,FS,Red,118,0,30,11,1,0.117727584
176,MP,Green,136,1,73,54,1,0.281998631
177,GP,Red,161,0,22,3,1,0.095824778
178,GP,White,40,0,72,54,2,0.073921971
179,MP,White,60,1,55,36,1,0.046543463
180,MP,Silver,66,1,39,20,1,0.060232717
181,EC,White,94,1,54,36,2,0.180698152
182,NW,White,144,1,84,66,2,0.361396304
183,KZN,Black,212,1,37,19,2,0.306639288
184,EC,Yellow,111,0,59,41,2,0.030116359
185,WC,White,207,0,24,6,1,0.295687885
186,KZN,Red,129,1,76,55,0,0.235455168
187,GP,White,150,1,18,0,2,0.331279945
188,KZN,Black,185,1,42,23,4,0.449007529
189,GP,White,87,1,51,32,2,0.386036961
190,EC,White,172,0,73,55,2,0.271047228
191,MP,Red,80,1,67,48,5,0.476386037
192,MP,White,242,1,63,45,3,0.013689254
193,GP,White,103,1,76,57,3,0.158795346
194,EC,White,92,1,41,23,1,0.013689254
196,GP,Red,201,1,18,0,2,0.197125257
197,KZN,Green,120,0,30,11,0,0.405201916
198,FS,Black,130,1,58,39,0,0.161533196
199,GP,Red,121,0,30,11,0,0.128678987
200,KZN,Red,167,0,29,11,3,0.364134155
201,NW,Yellow,130,1,23,5,0,0.213552361
202,GP,White,231,1,22,3,2,0.405201916
203,FS,White,103,1,58,40,3,0.046543463
204,WC,White,109,1,50,28,1,0.366872005
205,WC,Red,76,1,33,15,0,0.24366872
206,WC,Black,200,1,49,31,1,0
207,KZN,Silver,196,1,32,12,0,0.03559206
208,WC,Silver,110,1,21,2,1,0.032854209
209,WC,Green,95,0,54,36,0,0.235455168
210,EC,Red,40,0,27,7,0,0.043805613
211,EC,White,113,1,30,11,1,0.016427105
212,GP,Black,247,0,35,17,0,0.169746749
213,LIM,Green,142,1,37,18,1,0.136892539
214,WC,Red,221,0,50,32,3,0.216290212
215,WC,Blue,102,0,59,41,1,0.199863107
216,GP,White,112,0,78,59,1,0.008213552
217,WC,Yellow,106,1,27,9,2,0.366872005
218,GP,Silver,54,0,22,3,0,0.134154689
219,EC,Yellow,75,1,22,3,2,0.128678987
220,GP,Black,201,0,41,23,0,0.427104723
221,EC,White,142,1,44,26,2,0.320328542
222,WC,Blue,59,1,47,29,0,0.06844627
223,WC,Red,97,0,25,7,1,0.328542094
224,EC,White,169,1,58,39,1,0.249144422
225,KZN,Green,109,0,40,21,0,0.290212183
226,GP,Blue,279,0,51,32,1,0.101300479
227,EC,Silver,158,0,24,5,1,0.287474333
228,GP,White,234,1,64,46,1,0.405201916
229,EC,White,112,1,19,0,0,0.095824778
231,WC,Red,312,0,48,30,1,0.1724846
233,MP,Black,85,1,45,27,2,0.098562628
234,GP,White,125,1,39,21,0,0.06844627
235,WC,Green,122,0,53,34,1,0.027378508
236,GP,Black,65,0,72,54,0,0.17522245
237,MP,Red,122,1,85,67,1,0.032854209
238,WC,Black,131,1,57,39,1,0.145106092
239,WC,Silver,112,0,20,1,1,0.1724846
240,MP,Silver,135,0,73,55,0,0.128678987
241,WC,White,90,0,51,33,0,0.31211499
242,WC,Green,137,1,77,59,0,0.238193018
244,FS,Black,276,1,21,3,0,0.164271047
245,WC,Green,229,1,77,58,1,0.344969199
246,MP,Red,269,1,65,47,0,0.07118412
247,WC,Red,143,0,28,9,0,0.238193018
248,EC,White,349,1,62,44,1,0.101300479
249,WC,Black,95,1,24,6,0,0.284736482
250,MP,White,173,0,20,2,0,0.438056126
251,WC,Silver,378,0,42,24,2,0.167008898
252,LIM,Black,53,0,49,30,2,0.394250513
253,GP,Black,134,0,34,15,1,0.262833676
254,WC,Yellow,84,0,20,0,1,0.082135524
255,WC,Black,59,1,67,48,1,0.449007529
256,FS,Green,107,1,67,49,0,0.462696783
257,FS,White,91,1,47,28,0,0.284736482
258,EC,White,231,1,31,13,1,0.213552361
259,FS,Red,163,0,75,56,1,0.34770705
260,GP,White,87,0,33,14,1,0.158795346
261,WC,White,79,0,81,62,1,0.106776181
262,KZN,Yellow,88,1,28,10,0,0.443531828
263,FS,White,102,0,28,9,3,0.227241615
264,KZN,Red,150,0,76,58,1,0.227241615
265,GP,Silver,110,1,45,27,1,0.440793977
266,GP,White,117,1,24,6,0,0.10403833
268,NW,Black,97,0,69,50,2,0.161533196
269,KZN,White,88,1,24,6,0,0.216290212
270,WC,White,161,0,65,46,1,0.046543463
271,WC,Red,144,0,49,31,1,0.454483231
272,GP,White,77,0,46,27,4,0.13963039
273,WC,Blue,94,1,48,29,3,0.229979466
274,GP,Black,206,1,40,22,0,0.41615332
275,GP,Red,49,1,30,11,2,0.142368241
276,FS,White,143,1,22,3,1,0.164271047
277,WC,Red,70,0,39,20,1,0.476386037
278,WC,Blue,87,0,21,2,1,0.358658453
279,MP,Black,136,1,51,32,2,0.350444901
280,WC,Black,77,1,54,36,3,0.396988364
281,GP,Red,143,1,48,29,2,0.459958932
282,EC,White,125,1,37,18,1,0.353182752
283,EC,White,78,1,28,10,0,0.454483231
284,WC,Red,79,1,58,40,1,0.249144422
285,WC,Yellow,124,1,54,36,1,0.325804244
286,GP,Red,140,1,48,30,1,0.41889117
287,WC,Green,96,1,61,42,2,0.186173854
288,KZN,White,129,0,72,54,1,0.087611225
289,NW,Green,110,1,23,5,0,0.342231348
290,WC,Silver,70,0,77,58,0,0.413415469
291,GP,Red,203,1,49,31,1,0.128678987
292,KZN,Black,119,1,40,22,1,0.48733744
293,GP,Black,89,0,68,48,1,0.005475702
294,EC,Black,179,0,26,6,2,0.438056126
295,WC,Blue,43,1,73,54,1,0.076659822
296,GP,White,68,0,75,56,0,0.350444901
297,MP,White,89,0,45,27,0,0.262833676
298,WC,White,90,1,78,60,0,0.394250513
299,WC,Silver,253,1,29,9,1,0.465434634
300,MP,Red,151,0,24,5,0,0.246406571
301,GP,Red,147,1,44,26,2,0.290212183
302,MP,Red,66,1,29,11,1,0.45174538
303,FS,Red,114,0,27,9,2,0.353182752
304,NW,Red,182,1,35,16,0,0.459958932
305,GP,Red,120,0,63,44,1,0.457221081
306,GP,Black,130,0,29,11,1,0.186173854
307,WC,Red,272,0,80,61,2,0.284736482
308,FS,Red,54,1,54,36,3,0.27652293
309,WC,Red,103,1,64,45,3,0.232717317
310,EC,Red,149,1,84,65,0,0.191649555
311,KZN,White,156,1,35,17,1,0.043805613
312,KZN,Silver,75,1,74,56,1,0.093086927
313,EC,Blue,179,0,22,4,2,0.008213552
314,NW,Yellow,85,0,55,37,1,0.303901437
315,FS,White,87,0,68,49,1,0.227241615
316,EC,White,269,1,18,0,0,0.438056126
317,KZN,White,92,0,72,54,3,0.167008898
318,LIM,Red,153,0,21,3,1,0.396988364
319,WC,Black,86,0,22,4,0,0.290212183
320,KZN,Red,176,1,39,21,3,0.101300479
321,WC,Black,99,1,41,22,1,0.227241615
322,MP,Green,109,1,46,28,1,0.238193018
323,EC,Black,133,1,33,15,1,0.361396304
324,WC,Red,149,1,66,48,2,0.334017796
325,NW,Silver,68,1,31,13,0,0.06844627
326,WC,Silver,64,0,82,63,0,0.454483231
327,KZN,Blue,102,0,72,54,0,0.021902806
329,WC,Black,52,0,38,20,4,0.446269678
330,FS,Black,130,1,64,45,1,0.049281314
331,GP,Red,189,1,74,56,1,0.030116359
332,GP,White,72,0,53,34,4,0.421629021
333,WC,Black,273,0,57,38,1,0.232717317
334,EC,White,227,0,35,17,1,0.038329911
335,FS,White,253,0,22,4,1,0.038329911
336,FS,Black,184,0,49,31,1,0.314852841
337,WC,Red,85,1,31,13,2,0.191649555
338,EC,Black,110,1,27,9,1,0.355920602
339,NW,White,108,0,54,35,1,0.284736482
340,WC,Red,90,0,25,5,1,0.265571526
341,WC,Silver,188,1,70,52,1,0.202600958
342,KZN,White,85,0,40,21,1,0.369609856
343,WC,Black,87,1,30,12,0,0.353182752
344,EC,Green,44,1,36,18,1,0.134154689
345,KZN,Silver,109,0,39,21,0,0.134154689
346,KZN,Yellow,49,0,37,19,0,0.334017796
347,GP,White,177,0,81,63,2,0.490075291
348,FS,White,89,0,62,43,3,0.038329911
349,KZN,Black,127,1,49,31,0,0.238193018
350,EC,Black,71,1,21,3,1,0.484599589
351,NW,White,229,0,21,2,1,0.446269678
352,MP,Red,167,1,27,8,0,0.287474333
353,FS,White,172,1,83,64,1,0.120465435
354,GP,Green,201,0,39,20,1,0.073921971
355,GP,White,59,0,20,0,1,0.17522245
356,KZN,Red,61,0,41,20,0,0.284736482
357,WC,White,211,0,76,58,0,0.405201916
358,WC,White,86,0,58,40,0,0.153319644
359,KZN,Yellow,102,0,35,17,1,0.317590691
360,EC,White,60,0,33,15,0,0.17522245
361,KZN,White,137,0,52,33,0,0.429842574
362,NW,White,189,1,45,26,4,0.342231348
363,WC,Black,69,0,44,25,0,0.095824778
365,KZN,White,149,0,33,15,1,0.45174538
366,NW,Black,105,1,31,12,2,0.284736482
367,GP,Red,158,0,61,42,3,0.355920602
368,NW,White,66,0,46,27,2,0.169746749
369,EC,Blue,188,1,26,7,5,0.021902806
370,NC,White,175,0,73,55,1,0.473648186
371,KZN,Red,53,0,49,30,0,0.142368241
372,WC,White,151,1,24,6,1,0.120465435
373,MP,Yellow,63,0,68,50,3,0.057494867
374,NW,Red,163,0,72,53,0,0.114989733
375,GP,White,117,0,22,2,1,0.361396304
376,NW,White,73,1,61,43,1,0.013689254
377,FS,White,225,0,41,23,1,0.093086927
378,EC,Black,252,1,28,9,1,0.386036961
379,WC,Green,207,1,60,42,3,0.350444901
380,WC,Blue,204,1,21,3,1,0.353182752
381,EC,Blue,121,0,67,49,0,0.446269678
382,WC,Green,162,1,23,4,0,0.399726215
383,WC,White,48,0,44,26,2,0.429842574
384,MP,Yellow,160,1,25,7,0,0.057494867
385,WC,Silver,198,0,28,10,1,0.273785079
386,MP,Black,137,0,24,6,1,0.197125257
387,WC,Silver,137,1,79,61,1,0.31211499
388,WC,Yellow,167,1,24,5,1,0.20807666
389,KZN,Black,124,1,55,36,1,0.114989733
390,NW,Black,172,0,54,36,1,0.249144422
392,MP,Silver,58,0,73,55,0,0.1724846
393,GP,Red,96,0,29,11,1,0.229979466
394,WC,Silver,90,0,18,0,1,0.199863107
395,WC,Black,43,1,42,24,1,0.449007529
396,FS,White,51,1,77,59,4,0.229979466
397,KZN,Red,55,0,25,7,0,0.213552361
398,MP,Silver,263,1,20,1,2,0.260095825
399,KZN,Blue,80,0,26,8,0,0.027378508
400,WC,Black,73,0,24,6,0,0.106776181
401,FS,White,185,0,71,53,0,0.169746749
402,FS,White,72,1,23,4,0,0.41615332
403,EC,Black,101,1,31,12,1,0.049281314
404,KZN,White,103,1,34,16,1,0.38329911
405,GP,Black,88,1,28,9,5,0.339493498
406,FS,Black,61,1,37,18,0,0.016427105
407,WC,Red,74,0,63,45,0,0.295687885
408,EC,Green,47,0,76,58,1,0.358658453
409,FS,Red,133,0,26,8,2,0.038329911
410,GP,Blue,168,0,77,59,1,0.082135524
411,NW,Silver,114,1,43,25,0,0.134154689
412,EC,Silver,176,1,26,7,1,0.366872005
413,EC,Red,142,1,60,41,0,0.405201916
414,KZN,Red,92,1,18,0,3,0.112251882
415,WC,Green,130,0,78,60,2,0.298425736
416,FS,Yellow,110,1,63,45,0,0.1724846
417,WC,White,163,1,26,7,3,0.295687885
418,WC,White,55,1,52,33,1,0.372347707
419,FS,Silver,63,0,24,5,0,0.153319644
420,FS,Red,44,1,28,9,1,0.262833676
421,EC,Black,69,1,23,5,0,0.375085558
422,GP,Red,105,0,25,7,1,0.484599589
423,FS,White,78,1,20,1,0,0.281998631
424,FS,Green,151,0,36,17,0,0.114989733
425,EC,Green,117,0,25,6,1,0.117727584
426,FS,Red,219,1,83,64,2,0.194387406
427,MP,Blue,181,1,26,5,0,0.134154689
428,GP,White,61,0,67,49,1,0.158795346
429,WC,Black,84,0,24,6,1,0.361396304
430,EC,Silver,195,0,73,55,1,0.325804244
431,MP,White,55,1,77,58,2,0.369609856
432,KZN,Silver,74,0,25,7,2,0.281998631
433,EC,Green,250,0,60,42,3,0.388774812
434,MP,White,176,1,49,30,1,0.120465435
436,FS,White,178,1,37,19,0,0.492813142
438,EC,White,159,1,41,22,0,0.076659822
439,MP,White,144,1,85,66,0,0.271047228
440,WC,Yellow,56,0,21,3,0,0.219028063
441,WC,Yellow,79,0,73,55,0,0.10403833
442,NW,Red,202,0,45,27,1,0.158795346
443,MP,Blue,508,0,39,21,0,0.295687885
444,WC,Silver,210,0,36,18,3,0.120465435
445,FS,White,127,1,22,3,1,0.052019165
446,FS,Green,75,1,36,16,3,0.443531828
447,WC,Blue,125,0,31,13,1,0.169746749
448,KZN,White,217,0,61,43,0,0.41889117
449,NW,Silver,91,1,24,6,1,0.369609856
450,WC,White,272,1,77,59,2,0.177960301
451,WC,White,250,1,63,45,1,0.13963039
452,WC,White,163,0,73,55,1,0.402464066
453,EC,Green,116,1,30,12,0,0.060232717
454,WC,White,90,0,50,32,1,0.396988364
456,GP,Red,410,1,62,43,4,0.344969199
457,WC,White,200,1,74,55,1,0.054757016
458,GP,White,121,1,57,39,2,0.005475702
459,KZN,Yellow,94,0,81,63,3,0.314852841
460,WC,White,162,1,44,25,0,0.043805613
461,WC,Silver,136,1,66,48,1,0.421629021
462,GP,White,130,1,71,52,1,0.002737851
464,GP,White,141,1,70,52,1,0.13963039
465,GP,White,108,0,68,49,1,0.429842574
466,EC,Green,77,0,60,42,2,0.254620123
467,GP,White,157,0,69,51,0,0.087611225
468,WC,White,145,1,54,36,1,0.180698152
469,WC,Silver,144,1,74,56,0,0.298425736
470,WC,Red,204,0,42,24,1,0.197125257
471,EC,Red,110,0,57,39,1,0.114989733
472,MP,Blue,47,0,65,47,1,0.213552361
473,FS,White,52,0,32,13,0,0.117727584
474,KZN,Red,80,0,81,63,2,0.030116359
475,GP,White,244,1,87,68,0,0.073921971
476,NW,Green,112,1,22,4,1,0.306639288
477,NW,Green,59,0,70,50,1,0.290212183
478,EC,White,140,1,39,20,1,0.235455168
479,KZN,Black,214,0,21,3,0,0.158795346
480,NW,White,62,1,55,37,1,0.402464066
481,KZN,White,161,1,24,6,0,0.06844627
482,GP,White,66,1,66,48,1,0.459958932
483,WC,White,111,1,82,63,1,0.20807666
484,WC,Yellow,112,0,34,16,0,0.032854209
485,WC,Red,159,0,32,14,2,0.298425736
486,GP,Red,167,1,29,10,0,0.087611225
487,FS,Yellow,118,0,77,59,1,0.109514031
488,MP,White,246,0,47,29,1,0.364134155
489,GP,White,93,1,48,30,1,0.27652293
490,MP,White,57,0,20,2,0,0.402464066
491,NW,Black,91,0,28,9,3,0.125941136
492,EC,Black,111,0,80,61,4,0.459958932
493,NW,Red,104,0,74,55,1,0.021902806
494,GP,White,156,1,61,43,3,0.328542094
495,KZN,White,80,1,78,60,0,0.407939767
496,WC,Silver,111,0,21,2,1,0.336755647
497,GP,Red,127,0,24,6,0,0.084873374
498,GP,Black,71,0,56,37,1,0.164271047
499,WC,White,129,0,42,22,1,0.344969199
500,FS,Black,98,1,34,16,0,0.41889117
501,NW,Black,76,0,22,3,2,0.257357974
502,NW,Green,78,0,23,2,1,0.31211499
503,KZN,Silver,126,1,19,0,1,0.479123888
504,EC,Black,140,1,31,13,0,0.325804244
505,KZN,Red,71,0,29,11,1,0.320328542
506,NW,Silver,125,0,71,53,1,0.388774812
507,WC,White,106,0,83,65,3,0.443531828
508,MP,White,58,1,33,14,0,0.20807666
509,KZN,Silver,127,0,25,7,0,0.27652293
510,NW,Blue,142,1,76,58,2,0.062970568
511,WC,White,63,0,82,63,3,0.238193018
512,NW,White,110,1,62,43,2,0.432580424
513,EC,Red,82,1,41,23,1,0.334017796
514,WC,Silver,89,1,81,62,0,0.095824778
516,GP,Blue,114,1,61,43,0,0.065708419
517,MP,White,140,0,20,2,1,0.364134155
518,WC,Black,58,1,67,48,1,0.17522245
519,FS,Yellow,130,1,34,16,0,0.093086927
520,WC,White,55,0,40,22,2,0.17522245
521,WC,Blue,92,0,19,1,1,0.380561259
522,GP,White,74,0,25,5,1,0.20807666
523,WC,Red,256,1,21,2,2,0.052019165
524,LIM,Black,72,0,18,0,1,0.268309377
525,MP,Yellow,190,0,84,66,0,0.186173854
526,GP,Silver,48,1,71,52,0,0.287474333
528,KZN,Silver,100,0,27,9,1,0.484599589
529,KZN,Blue,35,1,34,14,2,0.407939767
530,NW,Red,114,0,28,9,2,0.199863107
531,KZN,Black,80,1,27,8,1,0.065708419
532,EC,Red,56,0,30,12,0,0.262833676
533,WC,Silver,86,0,25,6,1,0.07118412
534,WC,White,98,0,31,13,1,0.232717317
535,WC,Black,133,0,66,48,0,0.446269678
536,GP,Silver,62,0,48,29,4,0.399726215
537,NW,White,137,1,43,24,1,0.366872005
538,GP,White,287,1,27,8,4,0.405201916
539,WC,Yellow,127,0,71,52,1,0.199863107
540,WC,White,191,0,36,17,1,0.492813142
541,EC,Silver,79,1,58,39,1,0.183436003
542,WC,White,172,0,46,28,1,0.147843943
543,GP,Silver,159,1,19,1,1,0.1724846
544,FS,Silver,70,1,86,67,3,0.13963039
545,GP,White,102,1,74,56,5,0.457221081
546,GP,White,185,0,23,5,1,0.227241615
547,NW,White,41,1,22,3,1,0.216290212
548,WC,White,76,0,37,19,5,0.273785079
549,GP,Green,271,1,35,16,1,0.290212183
550,NW,White,57,0,84,66,1,0.232717317
551,WC,Red,100,1,51,33,0,0.191649555
552,GP,Black,187,0,22,4,0,0.394250513
553,EC,Silver,62,1,70,51,3,0.032854209
554,GP,Black,71,0,25,6,1,0.191649555
555,WC,Blue,110,0,19,1,0,0.17522245
556,KZN,White,67,0,71,53,0,0.106776181
557,GP,Red,231,1,47,28,0,0.161533196
558,FS,White,96,1,19,1,2,0.13963039
559,NC,White,157,0,76,58,2,0.145106092
560,FS,White,236,1,66,48,0,0.076659822
561,FS,Red,184,1,19,1,1,0.060232717
562,GP,White,90,1,49,30,1,0.043805613
563,EC,White,297,0,80,62,0,0.446269678
564,EC,Silver,110,0,43,25,0,0.303901437
565,GP,White,105,1,76,57,1,0.106776181
567,WC,Silver,55,0,84,65,1,0.079397673
568,KZN,Black,121,0,27,9,4,0.240930869
571,EC,White,137,1,46,28,1,0.17522245
572,GP,Silver,107,0,78,59,1,0.268309377
573,NW,White,201,0,60,42,1,0.446269678
574,WC,Black,81,1,78,59,0,0.246406571
575,GP,White,99,1,47,26,2,0.435318275
576,FS,Silver,124,0,19,0,1,0.355920602
577,MP,White,93,0,54,36,0,0.158795346
578,MP,White,68,1,84,66,2,0.303901437
579,MP,Black,142,0,78,58,0,0.364134155
580,GP,White,133,0,26,6,0,0.229979466
581,GP,White,225,0,30,12,0,0.13963039
582,FS,White,108,0,32,13,1,0.125941136
583,WC,White,234,0,35,16,3,0.194387406
584,EC,Silver,133,0,56,38,1,0.164271047
585,WC,White,129,1,81,63,5,0.41615332
586,KZN,White,80,0,25,7,1,0.265571526
587,NW,White,86,1,81,62,1,0.432580424
588,GP,Green,113,0,40,22,1,0.093086927
589,GP,Black,120,1,68,49,1,0.298425736
590,NW,White,66,1,56,38,1,0.134154689
591,EC,White,44,1,45,27,0,0.082135524
592,GP,Green,91,1,58,40,1,0.284736482
593,KZN,White,85,0,32,12,0,0.210814511
594,KZN,Silver,150,0,66,47,0,0.150581793
595,KZN,Black,163,1,21,3,1,0.394250513
596,WC,White,106,1,47,28,1,0.27926078
597,WC,White,115,1,85,66,2,0.134154689
598,MP,White,148,1,41,22,1,0.391512663
599,WC,Black,143,0,52,34,1,0.06844627
600,LIM,Red,83,0,56,38,0,0.164271047
